Player,Team,Age,Pos,MIN,BLK% Rank,STL% Rank,FOUL% Rank,fgOR% Rank,fgDR% Rank,ftOR% Rank,ftDR% Rank,FT% Rank,SFLD% Rank,FFLD% Rank,AND1% Rank,Usage Rank,PSA Rank,AST% Rank,AST:Usg Rank,TOV% Rank,OnOff_Opp_Diff Rank,OnOff_Opp_OFFENSE: Pts/Poss Rank,OnOff_Opp_OFFENSE: eFG% Rank,OnOff_Opp_OFFENSE: TOV% Rank,OnOff_Opp_OFFENSE: ORB% Rank,OnOff_Opp_OFFENSE: FT Rate Rank,OnOff_Opp_DEFENSE: Pts/Poss Rank,OnOff_Opp_DEFENSE: eFG% Rank,OnOff_Opp_DEFENSE: TOV% Rank,OnOff_Opp_DEFENSE: ORB% Rank,OnOff_Opp_DEFENSE: FT Rate Rank,OnOff_Opp_Pts/Poss Rank,OnOff_Opp_Pts/Poss Rank,OnOff_Opp_HALFCOURT: Pts/Play Rank,OnOff_Opp_HALFCOURT: OREB% Rank,OnOff_Opp_HALFCOURT: % of Plays Rank,OnOff_Opp_PUTBACKS: Pts/Miss Rank,OnOff_Opp_PUTBACKS: Plays/Miss Rank,OnOff_Opp_PUTBACKS: Pts/Play Rank,OnOff_Opp_eFG% Rank,OnOff_Opp_eFG% Rank,OnOff_Opp_TEAM FG%: Rim Rank,OnOff_Opp_TEAM FG%: Short Mid Rank,OnOff_Opp_TEAM FG%: Long Mid Rank,OnOff_Opp_TEAM FG%: All Mid Rank,OnOff_Opp_TEAM FG%: Corner Three Rank,OnOff_Opp_TEAM FG%: Non Corner Rank,OnOff_Opp_TEAM FG%: All Three Rank,OnOff_Opp_eFG% Rank,OnOff_Opp_eFG% Rank,OnOff_Opp_SHOT FREQUENCY: Rim Rank,OnOff_Opp_SHOT FREQUENCY: Short Mid Rank,OnOff_Opp_SHOT FREQUENCY: Long Mid Rank,OnOff_Opp_SHOT FREQUENCY: All Mid Rank,OnOff_Opp_SHOT FREQUENCY: Corner Three Rank,OnOff_Opp_SHOT FREQUENCY: Non Corner Rank,OnOff_Opp_SHOT FREQUENCY: All Three Rank,OnOff_Opp_Pts/Poss Rank,OnOff_Opp_Pts/Poss Rank,OnOff_Opp_ALL TRANSITION: Pts+/Poss Rank,OnOff_Opp_ALL TRANSITION: Freq Rank,OnOff_Opp_ALL TRANSITION: Pts/Play Rank,OnOff_Opp_OFF STEALS: Pts+/Poss Rank,OnOff_Opp_OFF STEALS: Freq Rank,OnOff_Opp_OFF STEALS: Pts/Play Rank,OnOff_Opp_OFF LIVE REBOUNDS: Pts+/Poss Rank,OnOff_Opp_OFF LIVE REBOUNDS: Freq Rank,OnOff_Opp_OFF LIVE REBOUNDS: Pts/Play Rank,OnOff_Team_Pts/Poss Rank,OnOff_Team_Pts/Poss Rank,OnOff_Team_HALFCOURT: Pts/Play Rank,OnOff_Team_HALFCOURT: OREB% Rank,OnOff_Team_HALFCOURT: % of Plays Rank,OnOff_Team_PUTBACKS: Pts/Miss Rank,OnOff_Team_PUTBACKS: Plays/Miss Rank,OnOff_Team_PUTBACKS: Pts/Play Rank,OnOff_Team_eFG% Rank,OnOff_Team_eFG% Rank,OnOff_Team_TEAM FG%: Rim Rank,OnOff_Team_TEAM FG%: Short Mid Rank,OnOff_Team_TEAM FG%: Long Mid Rank,OnOff_Team_TEAM FG%: All Mid Rank,OnOff_Team_TEAM FG%: Corner Three Rank,OnOff_Team_TEAM FG%: Non Corner Rank,OnOff_Team_TEAM FG%: All Three Rank,OnOff_Team_eFG% Rank,OnOff_Team_eFG% Rank,OnOff_Team_SHOT FREQUENCY: Rim Rank,OnOff_Team_SHOT FREQUENCY: Short Mid Rank,OnOff_Team_SHOT FREQUENCY: Long Mid Rank,OnOff_Team_SHOT FREQUENCY: All Mid Rank,OnOff_Team_SHOT FREQUENCY: Corner Three Rank,OnOff_Team_SHOT FREQUENCY: Non Corner Rank,OnOff_Team_SHOT FREQUENCY: All Three Rank,OnOff_Team_Pts/Poss Rank,OnOff_Team_Pts/Poss Rank,OnOff_Team_ALL TRANSITION: Pts+/Poss Rank,OnOff_Team_ALL TRANSITION: Freq Rank,OnOff_Team_ALL TRANSITION: Pts/Play Rank,OnOff_Team_OFF STEALS: Pts+/Poss Rank,OnOff_Team_OFF STEALS: Freq Rank,OnOff_Team_OFF STEALS: Pts/Play Rank,OnOff_Team_OFF LIVE REBOUNDS: Pts+/Poss Rank,OnOff_Team_OFF LIVE REBOUNDS: Freq Rank,OnOff_Team_OFF LIVE REBOUNDS: Pts/Play Rank,eFG% Rank
Precious Achiuwa,MIA,21.1,Big,685,57,44,24,79,52,0,20,5,98,23,29,57,20,26,18,39,63,83,92,60,86,5,27,26,2,85,97,27,27,38,90,66,25,76,3,26,26,70,21,68,35,44,6,7,26,26,95,9,13,4,53,49,51,27,27,21,65,9,35,58,30,22,28,10,83,83,87,92,18,71,57,69,92,92,69,84,91,94,74,95,95,92,92,5,85,93,94,33,57,50,83,83,27,31,28,17,49,23,50,32,45,40
Steven Adams,NOP,27.3,Big,1604,29,69,89,93,63,89,17,0,70,73,17,14,54,53,75,13,19,49,54,89,2,49,8,5,6,75,50,8,8,8,69,93,21,51,9,5,5,10,10,6,3,78,27,44,5,5,10,61,25,43,94,82,94,8,8,9,94,4,30,6,16,5,98,4,49,49,56,1,8,27,5,85,54,54,26,6,87,47,36,76,67,54,54,52,3,93,29,42,76,68,49,49,83,19,72,78,37,81,76,42,59,81
Bam Adebayo,MIA,23.3,Big,2130,51,78,91,51,64,0,88,76,83,98,69,92,72,98,95,30,88,78,83,97,6,0,85,96,42,9,75,85,85,95,15,6,14,9,48,96,96,100,66,2,21,75,47,66,96,96,94,0,1,0,100,95,99,85,85,58,16,64,3,1,9,92,19,90,78,78,90,9,3,7,1,95,83,83,45,99,0,83,99,82,97,83,83,12,92,98,99,21,15,12,78,78,29,21,35,10,21,25,66,63,56,55
LaMarcus Aldridge,SAS,35.3,Big,544,52,9,92,10,23,0,8,87,22,23,16,83,21,66,38,90,39,24,62,17,2,23,69,51,3,75,79,69,69,26,97,44,49,91,5,51,51,28,98,15,93,22,52,34,51,51,77,71,54,67,8,27,14,69,69,86,31,77,93,22,92,58,62,41,24,24,66,2,45,23,15,57,62,62,67,36,83,64,85,18,33,62,62,78,18,25,12,68,64,67,24,24,4,67,5,51,74,57,1,60,5,25
LaMarcus Aldridge,BKN,35.3,Big,130,95,41,51,2,27,0,46,0,31,64,0,77,60,78,61,58,67,42,50,84,23,68,85,81,34,70,66,85,85,82,74,54,49,51,45,81,81,76,10,84,28,91,61,80,81,81,76,42,8,15,57,62,64,85,85,41,73,32,37,56,22,55,67,56,42,42,35,16,72,84,53,88,50,50,51,47,79,57,41,23,28,50,50,84,26,53,34,56,28,32,42,42,61,73,67,72,58,78,46,61,53,49
Nickeil Alexander-Walker,NOP,22.2,Combo,958,94,75,25,28,91,0,94,10,28,38,49,70,24,31,15,30,93,75,84,47,26,89,93,78,38,83,82,93,93,79,75,87,91,94,62,78,78,90,20,25,14,72,68,75,78,78,88,44,2,8,41,67,62,93,93,82,62,63,49,59,30,92,46,79,75,75,79,13,96,19,24,34,84,84,100,17,52,25,56,12,16,84,84,95,13,5,3,68,49,55,75,75,75,100,68,94,96,98,32,100,28,37
Grayson Allen,MEM,25.1,Wing,1249,23,67,89,20,54,79,41,85,39,64,26,47,73,65,68,67,23,15,20,6,90,31,57,63,95,27,11,57,57,56,11,14,13,7,53,63,63,5,57,90,80,78,78,86,63,63,43,26,96,76,28,36,30,57,57,94,47,96,95,91,97,73,23,77,15,15,17,93,15,18,52,9,20,20,1,60,38,45,43,85,79,20,20,30,29,64,43,47,82,76,15,15,20,4,22,48,11,21,29,2,38,65
Jarrett Allen,BKN,22.5,Big,315,84,29,96,91,81,0,76,61,100,94,63,29,98,44,54,5,20,42,22,54,44,88,12,42,31,9,14,12,12,20,7,35,5,5,34,42,42,27,32,90,71,25,77,61,42,42,30,75,96,93,64,6,12,12,12,71,65,61,83,19,79,58,86,55,42,42,35,53,37,26,37,33,22,22,28,83,19,49,23,57,45,22,22,1,77,98,97,74,62,67,42,42,62,40,53,73,19,76,49,75,30,94
Jarrett Allen,CLE,22.5,Big,1529,74,10,99,80,79,54,70,37,91,93,31,46,80,56,55,37,68,57,72,87,4,71,75,33,98,69,26,75,75,90,49,23,12,25,13,33,33,13,33,53,31,96,12,65,33,33,67,63,8,28,98,17,59,75,75,19,21,22,39,36,56,15,34,13,57,57,69,7,72,18,17,43,72,72,85,12,44,16,31,91,78,72,72,62,55,61,59,74,21,31,57,57,95,82,91,94,4,97,85,86,68,81
Al-Farouq Aminu,ORL,30.1,Forward,366,72,98,89,86,99,0,40,0,73,72,94,50,11,69,73,2,47,62,24,54,68,75,31,51,23,82,11,31,31,24,77,74,92,66,96,51,51,14,71,84,86,20,49,35,51,51,79,8,49,12,68,62,68,31,31,25,68,24,43,68,57,11,80,8,62,62,57,88,7,11,48,6,24,24,12,45,39,37,65,56,63,24,24,19,56,97,88,58,30,34,62,62,7,6,25,3,26,10,26,8,44,8
