player,team,age,pos,min,blk%_rank,stl%_rank,foul%_rank,fgor%_rank,fgdr%_rank,ftor%_rank,ftdr%_rank,ft%_rank,sfld%_rank,ffld%_rank,and1%_rank,usage_rank,psa_rank,ast%_rank,ast:usg_rank,tov%_rank,diff_rank,offense:_pts/poss_rank,offense:_efg%_rank,offense:_tov%_rank,offense:_orb%_rank,offense:_ft_rate_rank,defense:_pts/poss_rank,defense:_efg%_rank,defense:_tov%_rank,defense:_orb%_rank,defense:_ft_rate_rank,onoff_opp_halfcourt_pts/poss_rank,onoff_opp_halfcourt_halfcourt:_pts/play_rank,onoff_opp_halfcourt_halfcourt:_oreb%_rank,onoff_opp_halfcourt_halfcourt:_%_of_plays_rank,onoff_opp_halfcourt_putbacks:_pts/miss_rank,onoff_opp_halfcourt_putbacks:_plays/miss_rank,onoff_opp_halfcourt_putbacks:_pts/play_rank,onoff_opp_team_fg%:_rim_rank,onoff_opp_team_fg%:_short_mid_rank,onoff_opp_team_fg%:_long_mid_rank,onoff_opp_team_fg%:_all_mid_rank,onoff_opp_team_fg%:_corner_three_rank,onoff_opp_team_fg%:_non_corner_rank,onoff_opp_team_fg%:_all_three_rank,onoff_opp_shot_frequency:_rim_rank,onoff_opp_shot_frequency:_short_mid_rank,onoff_opp_shot_frequency:_long_mid_rank,onoff_opp_shot_frequency:_all_mid_rank,onoff_opp_shot_frequency:_corner_three_rank,onoff_opp_shot_frequency:_non_corner_rank,onoff_opp_shot_frequency:_all_three_rank,onoff_opp_transition_pts/poss_rank,onoff_opp_transition_all_transition:_pts+/poss_rank,onoff_opp_transition_all_transition:_freq_rank,onoff_opp_transition_all_transition:_pts/play_rank,onoff_opp_transition_off_steals:_pts+/poss_rank,onoff_opp_transition_off_steals:_freq_rank,onoff_opp_transition_off_steals:_pts/play_rank,onoff_opp_transition_off_live_rebounds:_pts+/poss_rank,onoff_opp_transition_off_live_rebounds:_freq_rank,onoff_opp_transition_off_live_rebounds:_pts/play_rank,onoff_team_halfcourt_pts/poss_rank,onoff_team_halfcourt_halfcourt:_pts/play_rank,onoff_team_halfcourt_halfcourt:_oreb%_rank,onoff_team_halfcourt_halfcourt:_%_of_plays_rank,onoff_team_halfcourt_putbacks:_pts/miss_rank,onoff_team_halfcourt_putbacks:_plays/miss_rank,onoff_team_halfcourt_putbacks:_pts/play_rank,onoff_team_team_fg%:_rim_rank,onoff_team_team_fg%:_short_mid_rank,onoff_team_team_fg%:_long_mid_rank,onoff_team_team_fg%:_all_mid_rank,onoff_team_team_fg%:_corner_three_rank,onoff_team_team_fg%:_non_corner_rank,onoff_team_team_fg%:_all_three_rank,onoff_team_shot_frequency:_rim_rank,onoff_team_shot_frequency:_short_mid_rank,onoff_team_shot_frequency:_long_mid_rank,onoff_team_shot_frequency:_all_mid_rank,onoff_team_shot_frequency:_corner_three_rank,onoff_team_shot_frequency:_non_corner_rank,onoff_team_shot_frequency:_all_three_rank,onoff_team_transition_pts/poss_rank,onoff_team_transition_all_transition:_pts+/poss_rank,onoff_team_transition_all_transition:_freq_rank,onoff_team_transition_all_transition:_pts/play_rank,onoff_team_transition_off_steals:_pts+/poss_rank,onoff_team_transition_off_steals:_freq_rank,onoff_team_transition_off_steals:_pts/play_rank,onoff_team_transition_off_live_rebounds:_pts+/poss_rank,onoff_team_transition_off_live_rebounds:_freq_rank,onoff_team_transition_off_live_rebounds:_pts/play_rank,efg%_rank,rim_accuracy_rank,short_mid_accuracy_rank,long_mid_accuracy_rank,all_mid_accuracy_rank,corner_three_accuracy_rank,non_corner_accuracy_rank,all_three_accuracy_rank,rim_frequency_rank,short_mid_frequency_rank,long_mid_frequency_rank,all_mid_frequency_rank,corner_three_frequency_rank,non_corner_frequency_rank,all_three_frequency_rank,2p%_overall_rank,3p%_overall_rank,astd%_all_overall_rank,astd%_rim_overall_rank,astd%_mid_overall_rank,astd%_three_overall_rank
Quincy Acy,NYK,24.1,Big,1179,22,38,29,28,42,0,45,81,42,66,84,32,40,67,84,46,56,22,31,8,62,22,90,85,80,68,55,90,88,68,59,77,75,68,67,64,78,79,58,82,80,52,71,60,67,31,30,24,90,86,26,81,61,74,48,86,54,86,22,16,66,65,21,28,24,28,25,24,22,92,35,55,35,10,70,37,54,80,77,22,66,66,69,50,84,22,67,27,82,34,55,90,48,52,6,46,13,29,16,88,70,86,73,75,39,15,29,52,25,48
Jordan Adams,MEM,20.3,Wing,185,93,97,16,84,24,0,45,0,59,50,91,53,21,48,39,29,81,82,56,9,98,36,68,85,27,51,5,68,48,78,92,92,63,95,81,1,100,63,96,26,75,90,76,64,73,10,4,3,68,29,100,8,63,76,46,45,100,26,82,13,98,86,100,99,98,91,76,8,32,19,44,28,56,22,58,39,18,73,59,82,86,51,83,99,47,97,8,16,4,24,48,38,13,21,0,0,46,75,86,44,63,37,27,21,29,46,52,33,63,2
Steven Adams,OKC,21.3,Big,1767,74,36,41,81,49,78,65,9,89,84,76,23,55,28,38,14,38,32,35,17,74,40,56,25,64,52,96,56,39,59,58,68,45,81,87,27,6,6,13,29,15,48,20,20,12,91,87,95,56,52,64,37,22,50,23,75,60,64,32,18,71,49,81,76,67,43,42,25,30,87,36,54,59,65,68,71,9,37,23,32,24,48,27,52,73,31,17,35,29,74,45,63,22,60,0,0,0,85,72,7,25,0,42,39,76,0,67,42,72,0
Jeff Adrien,MIN,28.7,Big,189,52,32,31,69,68,0,100,13,98,96,88,19,6,62,85,67,87,76,37,76,94,53,82,96,4,78,80,82,96,83,16,55,67,44,64,40,41,36,99,93,100,53,86,39,67,0,86,23,82,17,38,17,93,61,72,4,4,8,76,71,88,34,2,39,1,2,30,66,48,100,58,99,7,31,65,50,96,69,86,76,78,31,85,28,73,38,91,7,93,3,6,17,58,19,0,0,0,68,72,41,52,0,0,0,5,0,75,88,24,0
Arron Afflalo,DEN,29.0,Wing,1746,11,6,84,21,34,0,60,77,40,54,83,61,60,43,21,62,63,72,78,15,96,10,46,37,3,89,97,46,27,86,32,96,81,91,6,15,56,35,91,70,87,23,8,54,21,69,98,98,46,22,29,22,22,19,22,33,56,38,72,41,92,34,89,84,76,42,73,18,38,80,93,96,41,87,62,81,65,15,23,72,57,13,70,44,73,77,56,27,59,48,25,75,96,94,35,36,33,17,90,78,87,60,37,40,66,33,51,55,49,25
Arron Afflalo,POR,29.0,Wing,747,9,2,44,13,21,0,16,80,33,58,36,39,58,5,3,37,71,89,90,74,54,76,36,69,4,47,94,36,79,60,57,20,37,23,90,39,48,41,25,23,16,84,1,38,1,93,90,97,36,8,79,6,60,85,32,2,11,3,89,98,46,44,11,76,0,16,99,22,84,87,97,98,52,70,53,61,25,46,39,89,24,26,56,3,54,2,70,19,89,55,48,72,48,60,15,97,85,22,85,75,79,71,36,48,32,85,44,9,62,56
Alexis Ajinca,NOP,26.5,Big,873,81,41,6,88,79,46,69,83,49,77,36,75,79,54,35,34,38,38,61,11,66,16,44,76,32,16,12,44,69,12,40,6,14,9,92,28,26,19,11,87,72,13,17,86,62,84,69,82,44,75,52,75,40,50,51,84,65,75,38,52,71,24,35,54,22,59,64,90,88,44,82,75,1,99,81,99,19,36,28,38,29,25,29,19,16,26,49,33,48,75,32,97,77,99,0,0,0,39,94,53,82,0,0,0,74,0,83,61,77,0
Furkan Aldemir,PHI,23.2,Big,488,51,61,2,90,44,68,79,0,47,56,14,1,14,44,94,18,31,86,68,28,99,17,4,7,11,81,2,4,2,82,36,58,30,81,24,47,40,40,2,15,2,15,13,84,55,51,88,87,4,12,14,20,19,19,46,17,18,21,86,68,100,44,48,89,6,25,42,37,39,92,75,88,50,80,22,44,78,46,55,86,70,18,88,58,8,85,59,58,67,35,60,4,34,5,0,0,0,78,20,44,18,64,69,68,63,0,96,92,2,0
Cole Aldrich,NYK,26.0,Big,915,90,86,24,58,92,98,92,74,35,32,79,62,36,89,91,30,19,9,16,7,27,31,57,73,41,38,47,57,66,26,17,24,36,35,47,53,61,64,88,54,77,15,95,3,33,81,95,97,57,76,5,84,17,31,47,93,35,92,9,9,16,40,38,24,63,62,13,13,7,34,43,40,42,96,16,65,19,55,42,9,69,64,63,89,69,92,40,49,21,35,78,36,3,29,0,0,0,46,100,11,76,0,0,0,36,0,62,23,76,0
LaMarcus Aldridge,POR,29.3,Big,2508,40,28,100,32,79,32,79,96,41,75,55,99,43,62,18,96,83,95,64,92,90,91,31,32,50,36,53,31,44,30,45,43,57,37,19,25,58,39,33,50,41,75,23,4,4,75,94,95,31,27,49,29,16,31,12,55,12,62,95,85,90,74,95,93,73,66,68,94,92,11,74,44,49,80,92,93,7,8,5,95,66,29,71,65,86,62,61,14,59,31,74,73,62,66,41,67,64,11,61,96,96,70,69,67,28,64,98,94,94,92
